Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,17.4,0,19,1,5.3,1.09,0.06,0.00,0.00,23.3,1,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
2,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,27.7,7,52,12,23.1,1.88,0.43,0.13,0.58,18.5,0,0,0,4.9,4.9,0.09,+2.1,+2.1,Matches
3,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,3.4,1,13,5,38.5,3.80,1.46,0.08,0.20,16.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,8.6,1,18,5,27.8,2.08,0.58,0.06,0.20,17.2,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
5,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,12.6,0,5,1,20.0,0.40,0.08,0.00,0.00,21.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
6,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,19.4,1,11,3,27.3,0.57,0.15,0.09,0.33,9.9,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches
7,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,12.4,1,6,2,33.3,0.48,0.16,0.17,0.50,17.0,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
8,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,7.6,1,14,5,35.7,1.84,0.66,0.07,0.20,18.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
9,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,13.1,1,24,6,25.0,1.83,0.46,0.04,0.17,13.6,0,0,0,4.0,4.0,0.17,-3.0,-3.0,Matches
11,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,9.2,3,21,8,38.1,2.27,0.87,0.14,0.38,11.9,0,0,0,3.1,3.1,0.15,-0.1,-0.1,Matches
12,Hamdi Akujobi,nl NED,DF,Almere City,25-105,2000,26.0,1,15,5,33.3,0.58,0.19,0.07,0.20,21.3,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
13,Gerald Alders,nl NED,DF,Twente,19-363,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Hussein Ali,iq IRQ,DF,Heerenveen,23-065,2002,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Jaydon Amauri Banel,nl NED,FW,Ajax,20-198,2004,0.7,0,4,0,0.0,5.63,0.00,0.00,,20.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
16,Jamal Amofa,nl NED,DF,Go Ahead Eag,26-161,1998,1.8,0,1,0,0.0,0.57,0.00,0.00,,4.2,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
17,Silas Andersen,dk DEN,MF,Utrecht,20-326,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,23-263,2001,24.8,6,48,14,29.2,1.94,0.57,0.13,0.43,15.1,0,0,0,6.5,6.5,0.14,-0.5,-0.5,Matches
19,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23-341,2001,30.0,1,32,5,15.6,1.07,0.17,0.03,0.20,19.0,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
20,Julian Baas,nl NED,MF,Sparta R'dam,23-019,2002,9.4,0,4,2,50.0,0.42,0.21,0.00,0.00,28.5,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
21,Youri Baas,nl NED,DF,Ajax,22-049,2003,22.7,1,2,1,50.0,0.09,0.04,0.50,1.00,12.8,0,0,0,0.7,0.7,0.33,+0.3,+0.3,Matches
22,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,1.9,1,4,3,75.0,2.06,1.54,0.25,0.33,14.1,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches
23,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,23.2,4,30,10,33.3,1.29,0.43,0.03,0.10,24.8,7,3,4,4.7,1.5,0.05,-0.7,-0.5,Matches
24,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,0.2,0,1,0,0.0,5.29,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,20.8,1,11,2,18.2,0.53,0.10,0.09,0.50,23.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
27,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,17.0,9,56,25,44.6,3.29,1.47,0.16,0.36,18.7,0,0,0,5.3,5.3,0.09,+3.7,+3.7,Matches
28,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31.0,0,1,0,0.0,0.03,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
29,Max Balard,au AUS,MF,NAC Breda,24-166,2000,29.6,1,6,2,33.3,0.20,0.07,0.17,0.50,24.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
30,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,4.5,1,8,1,12.5,1.78,0.22,0.13,1.00,21.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
31,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,8.8,0,4,1,25.0,0.45,0.11,0.00,0.00,15.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
32,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,14.4,0,9,3,33.3,0.63,0.21,0.00,0.00,20.7,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
34,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,18.9,1,10,3,30.0,0.53,0.16,0.10,0.33,12.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
37,Raffael Behounek,at AUT,DF,Willem II,28-019,1997,29.9,1,5,1,20.0,0.17,0.03,0.20,1.00,8.9,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
38,Kristijan Belic,rs SRB,MF,AZ Alkmaar,24-041,2001,6.5,1,10,5,50.0,1.54,0.77,0.10,0.20,19.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
39,Mimeirhel Benita,nl NED,DF,Heracles Almelo,21-169,2003,19.7,0,10,5,50.0,0.51,0.25,0.00,0.00,23.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
40,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,30.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,Mitchell van Bergen,nl NED,FW,Sparta R'dam,25-251,1999,9.6,2,23,8,34.8,2.41,0.84,0.09,0.25,14.3,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
42,Mitchell van Bergen,nl NED,FW,Twente,25-251,1999,8.9,0,19,10,52.6,2.14,1.13,0.00,0.00,18.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
43,Thom van Bergen,nl NED,FW,Groningen,21-119,2004,24.7,4,37,13,35.1,1.50,0.53,0.11,0.31,13.2,0,0,0,7.7,7.7,0.21,-3.7,-3.7,Matches
44,Steven Berghuis,nl NED,"FW,MF",Ajax,33-137,1991,13.7,2,28,8,28.6,2.04,0.58,0.04,0.13,21.3,5,1,2,3.5,1.9,0.07,-1.5,-0.9,Matches
45,Steven Bergwijn,nl NED,FW,Ajax,27-209,1997,0.2,0,1,0,0.0,6.00,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,3.9,3,11,6,54.5,2.84,1.55,0.27,0.50,19.0,0,0,0,0.5,0.5,0.04,+2.5,+2.5,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,21.7,0,3,2,66.7,0.14,0.09,0.00,0.00,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,12.3,0,8,3,37.5,0.65,0.24,0.00,0.00,9.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,14.2,2,26,8,30.8,1.84,0.56,0.04,0.13,14.9,0,1,1,3.0,2.2,0.08,-1.0,-1.2,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,14.1,2,41,16,39.0,2.91,1.13,0.05,0.13,18.9,5,0,0,3.9,3.9,0.10,-1.9,-1.9,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,3.0,0,3,0,0.0,1.00,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,25.8,1,17,4,23.5,0.66,0.16,0.06,0.25,27.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,27.9,5,37,16,43.2,1.32,0.57,0.14,0.31,21.9,4,0,0,2.4,2.4,0.06,+2.6,+2.6,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,4.5,1,6,1,16.7,1.34,0.22,0.17,1.00,18.8,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,26.0,0,15,2,13.3,0.58,0.08,0.00,0.00,26.7,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,1.9,0,2,0,0.0,1.05,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,21.8,9,54,20,37.0,2.48,0.92,0.17,0.45,18.2,3,0,0,5.5,5.5,0.10,+3.5,+3.5,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,16.1,4,40,11,27.5,2.49,0.68,0.10,0.36,9.5,0,0,0,10.0,10.0,0.25,-6.0,-6.0,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,19.4,3,27,12,44.4,1.39,0.62,0.11,0.25,14.1,0,0,0,3.4,3.4,0.13,-0.4,-0.4,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,3.4,0,8,0,0.0,2.35,0.00,0.00,,16.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,17.2,0,5,1,20.0,0.29,0.06,0.00,0.00,13.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,10.2,3,21,6,28.6,2.07,0.59,0.14,0.50,16.7,1,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,3.4,0,11,3,27.3,3.21,0.88,0.00,0.00,15.4,0,0,0,1.8,1.8,0.17,-1.8,-1.8,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,11.4,3,28,10,35.7,2.45,0.87,0.11,0.30,14.8,0,0,0,3.8,3.8,0.14,-0.8,-0.8,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,13.1,0,10,1,10.0,0.76,0.08,0.00,0.00,21.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,2.6,0,7,3,42.9,2.73,1.17,0.00,0.00,14.4,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,20.4,6,35,13,37.1,1.71,0.64,0.14,0.38,13.3,0,1,2,6.0,4.5,0.13,0.0,+0.5,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,8.6,0,3,0,0.0,0.35,0.00,0.00,,15.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,12.2,4,19,8,42.1,1.56,0.66,0.21,0.50,17.0,0,0,0,2.8,2.8,0.15,+1.2,+1.2,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,2.6,0,1,0,0.0,0.38,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,8.8,4,20,7,35.0,2.28,0.80,0.20,0.57,9.4,0,0,0,5.4,5.4,0.27,-1.4,-1.4,Matches
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,0.6,0,1,0,0.0,1.73,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,20.2,6,59,15,25.4,2.92,0.74,0.10,0.40,19.3,0,0,0,3.0,3.0,0.05,+3.0,+3.0,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,1.3,0,5,3,60.0,3.75,2.25,0.00,0.00,17.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,20.2,0,12,1,8.3,0.59,0.05,0.00,0.00,26.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,17.5,2,18,4,22.2,1.03,0.23,0.11,0.50,21.0,1,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,12.1,1,16,4,25.0,1.32,0.33,0.06,0.25,21.7,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,7.2,0,2,0,0.0,0.28,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
89,Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,29-096,1996,19.0,9,33,17,51.5,1.74,0.90,0.24,0.47,16.8,5,1,1,4.1,3.3,0.10,+4.9,+4.7,Matches
90,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,28-107,1997,13.2,4,24,11,45.8,1.82,0.84,0.17,0.36,12.4,0,0,0,4.8,4.8,0.20,-0.8,-0.8,Matches
91,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-084,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,23-159,2001,17.4,2,14,5,35.7,0.81,0.29,0.14,0.40,16.6,1,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
93,Matteo Dams,be BEL,DF,PSV Eindhoven,21-057,2004,10.2,0,4,1,25.0,0.39,0.10,0.00,0.00,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
94,Damil Dankerlui,sr SUR,"DF,FW",Almere City,28-254,1996,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,21-201,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Brynjolfur Darri Willumsson,is ISL,"FW,MF",Groningen,24-266,2000,9.9,4,21,6,28.6,2.13,0.61,0.19,0.67,12.6,0,0,0,1.9,1.9,0.09,+2.1,+2.1,Matches
97,Jari De Busser,be BEL,GK,Go Ahead Eag,25-196,1999,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24-364,2000,27.6,5,22,7,31.8,0.80,0.25,0.09,0.29,25.4,1,3,3,3.9,1.5,0.07,+1.1,+0.5,Matches
99,Mats Deijl,nl NED,DF,Go Ahead Eag,27-294,1997,31.0,4,31,9,29.0,1.00,0.29,0.06,0.22,17.3,2,2,2,4.5,2.9,0.09,-0.5,-0.9,Matches
100,Maxim Dekker,nl NED,DF,AZ Alkmaar,21-014,2004,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Logan Delaurier Chaubet,fr FRA,FW,Almere City,23-013,2002,6.2,1,10,3,30.0,1.62,0.49,0.10,0.33,17.4,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
102,Branco van den Boomen,nl NED,MF,Ajax,29-288,1995,7.0,0,11,5,45.5,1.57,0.71,0.00,0.00,29.2,5,0,1,1.4,0.6,0.05,-1.4,-0.6,Matches
103,Damian van der Haar,nl NED,DF,Zwolle,21-109,2004,19.9,2,8,3,37.5,0.40,0.15,0.25,0.67,19.4,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches
